timestamp_utc,years,n_obs,r2,b0,b1,b2,b3,today_vol_pct,forecast_vol_pct,gvz,gap_gvz_forecast
2026-09-14T11:32:16.007848+00:00,2,480,0.3275,5.87494e-05,0.574,-0.008731,0.016,17.4,18.04,25.68,7.643
2026-09-14T11:42:11.678149+00:00,2,480,0.3275,5.87494e-05,0.574,-0.008731,0.016,17.4,18.04,25.68,7.643
2026-09-16T14:40:41.156659+00:00,2,482,0.3405,7.2228e-05,0.5429,0.04429,0.1105,19.18,21.66,26.99,5.332
2026-09-17T05:55:03.124539+00:00,2,482,0.3397,7.2514e-05,0.542,0.04485,0.1101,13.6,19.32,26.55,7.226
2026-09-18T05:41:41.500725+00:00,2,482,0.3396,7.27655e-05,0.5422,0.0447,0.1095,8.055,17.6,24.98,7.377
2026-09-19T05:35:53.237188+00:00,2,481,0.3395,7.30645e-05,0.5422,0.0446,0.1093,14.63,19.83,23.31,3.477
2026-09-20T05:55:02.513533+00:00,2,480,0.3393,7.33272e-05,0.5422,0.04456,0.1088,14.63,19.84,23.31,3.468
2026-09-21T06:01:24.356082+00:00,2,480,0.3393,7.32743e-05,0.5424,0.04448,0.1083,7.489,17.16,23.31,6.152
2026-09-22T05:57:14.385953+00:00,2,481,0.3394,7.32059e-05,0.5424,0.04447,0.1083,13.35,19.01,23.38,4.365
2026-09-23T05:41:50.931964+00:00,2,482,0.3393,7.30167e-05,0.5424,0.04449,0.1083,8.146,17.09,,
2026-09-24T05:57:23.339432+00:00,2,482,0.3393,7.2872e-05,0.5423,0.04479,0.1084,6.616,16.64,22.77,6.132
2026-09-25T05:59:17.098755+00:00,2,482,0.3393,7.31509e-05,0.5424,0.0448,0.1075,9.001,17.22,22.58,5.361
2026-09-26T05:58:46.297251+00:00,2,481,0.3391,7.34506e-05,0.5423,0.04474,0.1072,13.77,18.91,22.44,3.534
