timestamp_utc,gc_close,gvz,rv7,rv30,parkinson7,front_iv_manual,gap_gvz_rv30,gap_gvz_rv7,gap_gvz_pk7,gap_front_rv7
2026-09-14T11:18:35.635870+00:00,4334.40,25.68,23.09,23.59,12.35,,2.09,2.59,13.33,
2026-09-14T18:20:38.596758+00:00,4350.60,26.77,25.11,23.97,16.25,,2.80,1.66,10.52,
2026-09-15T05:40:26.699034+00:00,4338.70,26.54,14.93,23.93,15.04,,2.61,11.61,11.50,
2026-09-15T17:28:13.645457+00:00,4335.70,27.23,11.56,23.91,22.89,,3.32,15.67,4.34,
2026-09-16T05:33:52.373747+00:00,4364.90,26.90,12.83,23.66,21.26,,3.24,14.07,5.64,
2026-09-16T17:27:25.142752+00:00,4385.60,27.33,14.71,23.80,21.83,,3.53,12.62,5.50,
2026-09-17T05:39:22.204716+00:00,4325.80,26.55,16.14,21.91,22.48,,4.64,10.41,4.07,
2026-09-17T17:27:14.677048+00:00,4400.10,25.20,14.67,21.50,24.34,,3.70,10.53,0.86,
2026-09-18T05:28:04.014161+00:00,4407.40,24.98,14.22,21.49,23.28,,3.49,10.76,1.70,
2026-09-18T16:55:29.238307+00:00,4416.90,24.00,14.50,21.51,23.74,,2.49,9.50,0.26,
2026-09-19T05:23:46.870793+00:00,4424.90,23.31,14.81,21.53,23.74,,1.78,8.50,-0.43,
2026-09-19T16:13:24.552524+00:00,4424.90,23.31,14.81,21.53,23.74,,1.78,8.50,-0.43,
2026-09-20T05:36:33.505712+00:00,4424.90,23.31,14.81,21.53,23.74,,1.78,8.50,-0.43,
2026-09-20T16:40:47.340099+00:00,4424.90,23.31,14.81,21.53,23.74,,1.78,8.50,-0.43,
2026-09-21T05:46:17.244258+00:00,4392.70,23.31,13.57,20.61,21.60,,2.70,9.74,1.71,
2026-09-21T18:27:42.576357+00:00,4390.90,23.33,13.66,20.62,22.02,,2.71,9.67,1.31,
2026-09-22T05:43:51.221502+00:00,4367.60,23.38,14.11,20.65,20.51,,2.73,9.27,2.87,
2026-09-22T17:31:05.817593+00:00,4377.40,23.20,14.02,20.63,21.25,,2.57,9.18,1.95,
2026-09-23T05:25:54.534268+00:00,4379.30,,11.25,20.58,19.67,,,,,
2026-09-23T17:41:54.525863+00:00,4315.90,22.87,14.35,20.94,20.98,,1.93,8.52,1.89,
2026-09-24T05:45:07.370755+00:00,4320.10,22.77,13.96,20.81,20.62,,1.96,8.81,2.15,
2026-09-24T17:44:15.950034+00:00,4301.30,22.84,14.10,20.82,21.07,,2.02,8.74,1.77,
2026-09-25T05:41:45.554904+00:00,4302.00,22.58,10.76,20.65,17.92,,1.93,11.82,4.66,
